PROB_TYPE,Unigram Keywords,Bigram Keywords
GROUNDS|GARDEN MAINTENANCE,"grown, trimmed, tree, spraying, overgrown, bush, prune, hedge, shrub, mulch, mulching, garden, weeding, pruning, weed","request january, january till, area service, space maintenance, task associated, cover mulching, ground cover, pruning shrub, pruning hedge, shrub ground, hedge pruning, control task, associated open, mulching spraying, weeding pruning"
GROUNDS|GARDEN RENOVATION,"tower, west, corner, south, tree, campus, welcome, quadrangle, visible, lawn, activation, marketing, flame, interior, mowed","swipe card, swipe access, non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, return campus, south west, west corner"
GROUNDS|GATE,"light, ha, critical, non, defect, door, room, access, attached, broken, reported, black, gate, document, pdf","penetration sealed, swipe card, swipe access, non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, attached pdf, broken attached"
GROUNDS|GRAFFITI,"shepherd, refer, cleveland, pso, permanent, lander, codrington, tunnel, planter, external, marker, tagging, spotted, chalk, graffiti","darlington lane, parramatta road, ground cleaner, outside door, shepherd street, cleaner service, gc ground, attached photo, multiple location, box located, city road, refer attached, graffiti tunnel, attached report, external wall"
GROUNDS|IRRIGATION,"lawn, feature, maintaining, nil, bed, head, garden, simpson, internet, station, jess, renee, tighe, irrigation, watering","water reported, water feature, december ground, sprinkler head, garden bed, outdoor area, task associated, system contact, issue system, maintenance task, irrigation system, service system, contact renee, renee tighe, number contact"
GROUNDS|LAWN MAINTENANCE,"plaque, bare, grass, cutting, werombi, bb, brush, blowing, watering, weeding, mowed, lawn, maintainance, edging, mowing","bb area, front building, werombi road, service request, december ground, january december, january till, area service, space maintenance, campus service, request january, task associated, maintenance task, associated open, lawn maintenance"
GROUNDS|LINE MARKING,"nano, mark, mobility, slip, pedestrian, teasel, repaint, parking, coating, bay, line, reflective, owned, crossing, marking","install air, western avenue, building loading, parking space, nanoscience hub, dale teasel, car parking, pedestrian crossing, improve air, road car, parking bay, car spot, loading zone, request location, line marking"
GROUNDS|MULCHING,"tree, january, pbi, aa, lachlan, reduce, rating, dale, blake, garden, cc, mulch, bb, pot, mulching","card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, cc area, aa area, risk rating, service request, bb area, request january, area service, january december"
GROUNDS|PONDS AND WATER FEATURES,"water, unoccupied, dirty, higher, bb, task, mackintosh, usual, refilling, litter, weeding, adding, maintainance, pond, feature","water power, wakil garden, wa turned, upper wakil, turn water, jamie mackintosh, request january, water level, till december, area service, clean water, turn green, december ground, january till, water feature"
GROUNDS|PRUNING,"nearby, layer, macleay, owned, growing, obstructing, hedge, trim, overgrown, blocking, view, branch, pruning, bush, prune","required facade, carpark entry, team remove, request january, remove excess, camera ext, site specific, gas bottle, area service, january december, risk reduction, december ground, con unit, western avenue, macleay building"
GROUNDS|RETAINING WALLS,"bed, drive, falling, vehicle, garden, cement, hesitate, unclear, step, customer, aquatic, reversing, capping, sandstone, retaining","timothy jackson, ha damaged, attached photograph, attached staff, next step, image attached, rd side, garden bed, parramatta rd, hesitate contact, lawn area, north side, aquatic centre, wall next, retaining wall"
GROUNDS|ROADS,"teasel, filling, speed, car, riskware, western, manhole, forklift, gc, identifying, uneven, crossing, wesley, driveway, pot","asap attached, link building, psu ha, car park, dale teasel, january december, due recent, ha multiple, trip hazard, riskware report, pedestrian crossing, western avenue, ground cleaner, cleaner service, gc ground"
GROUNDS|SAFETY BARRICADING,"service, area, leak, open, contact, space, team, front, placed, steam, show, cpc, barricade, henry, barricaded","non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, open space, team provide, leak area, contact henry, space team"
GROUNDS|STREET FURNITURE,"dislodged, ground, steel, damaged, pavement, preparation, street, padlock, antique, footage, furniture, reflective, applying, swapping, bollard","till december, area next, attached report, area service, service request, pedestrian crossing, january december, refer attached, ha damaged, january till, campus service, russell place, request january, bike rack, december ground"
GROUNDS|STUDENT HOUSING,"accommodation, gardener, mayfarm, tree, backyard, yard, edging, mowing, cc, spraying, hedge, weeding, mulching, shrub, pruning","student accommodation, arundel street, associated open, lawn maintenance, space maintenance, cc area, mulching spraying, pruning shrub, pruning hedge, hedge pruning, cover mulching, shrub ground, control task, ground cover, weeding pruning"
GROUNDS|TREES,"childcare, lifting, hanging, play, vision, pruning, mulch, overgrown, prune, picking, grown, trim, trimmed, branch, tree","area service, pedestrian crossing, western avenue, january till, ha fallen, tenant comment, campus service, service request, request january, causing damage, childcare centre, december ground, risk rating, space staff, tree branch"
GROUNDS|USU,"weed, renee, pest, bb, holme, task, edging, mowing, trim, spraying, hedge, weeding, mulching, shrub, pruning","holme building, ground team, task associated, lawn maintenance, associated open, space maintenance, weeding pruning, mulching spraying, pruning hedge, ground cover, pruning shrub, control task, hedge pruning, cover mulching, shrub ground"
GROUNDS|WEEDING,"apply, camden, storage, inspected, swhb, around, appear, attention, growing, soil, saw, grass, pavers, stp, weed","staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, attached photo, cumberland campus, animal house, ground level, law library, area around, storage area"
HAZARDOUS CHEMICAL WASTE,"conversation, bio, acid, maxwell, decommissioning, lisa, disposal, drum, bottle, chapman, waste, collection, chemical, hazardous, mylab","arrange collection, removed disposed, clinical waste, call email, gas cylinder, tree root, removal disposal, quote removal, special collection, waste removal, hazardous waste, hazardous chemical, waste collection, chemical waste, mylab hazardous"
LAUNDRY,"smh, order, laurence, invoice, large, washer, small, heydon, washed, returned, separate, coat, bag, med, gown","access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, per attached, attached spreadsheet, request raised, come look, building lab, cheryl swale, washing machine, fix problem, heydon laurence"
LIFT SERVICES,"invoicing, trapped, button, technician, order, brad, elevator, dimitranas, passenger, otis, mcguiness, shaft, stuck, entrapment, lift","lift door, lift building, access lift, technician contact, lift ha, showing service, lift number, provide airmaster, lift shaft, technician access, lift stuck, stuck level, lift service, lift working, lift order"
LIGHTING,"bulb, lamping, flood, mounted, floodlight, ballast, flickering, shine, led, fluorescent, tube, lamp, lighting, unserviceable, light","light room, shine onto, wr replacement, fluorescent tube, linked wr, light mounted, light unserviceable, link job, working raised, light near, light bay, flood light, light working, external lighting, fredon job"
LINEN,"door, room, access, attached, paul, wr, new, lab, cleaned, per, order, additional, spreadsheet, coat, etp","swipe card, swipe access, non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, per attached, attached spreadsheet, lab paul"
LOCKSMITHING,"released, reissue, locker, andy, lock, transfer, custodian, cissec, abandoned, locksmith, bike, bunch, key, bicycle, keywatcher","key ha, security control, remove abandoned, key transferred, key bunch, ca transfer, bike rack, transfer bilock, ha released, transfer key, key issue, broken key, custodian key, notice disposal, key set"
LOCKSMITHING|KEYS,"owner, behalf, allocate, master, pountney, carrel, assign, transfer, collection, lock, student_id, bilock, bi, cut, key","order key, request key, key student, key staff, issue key, cut room, cut key, key required, provide key, key request, lock key, bi lock, bilock key, key cut, key room"
LOCKSMITHING|LOCKS,"adi, tongue, keying, latch, handle, il, cyl, barrel, door, padlock, bunch, key, keyed, locksmith, lock","hour needed, key lock, room lock, adi bolt, lock changed, send locksmith, lock door, test fail, away test, lock room, door closer, door lock, walk away, strike plate, change lock"
MAIL,"shannon, conservatorium, post, australia, packing, cleveland, lb, hoping, collected, delivery, delivered, package, letter, tracking, mail","ha called, usyd ha, city rd, starting next, main campus, foundation building, pty ltd, internal external, study centre, ready collection, room usyd, external internal, building attendant, site advise, large number"
MECHANICAL SERVICES,"mechanical, system, operation, delta, fault, ac, conditioning, boiler, temperature, fcu, unit, bm, fan, chiller, air","broadspectrum corrective, site investigate, chiller fault, fan motor, est cost, cause fault, action equipment, code fault, equipment type, corrective action, attend site, air con, delta ba, issue delta, air conditioning"
PEST CONTROL SERVICES,"droppings, insect, bee, cricket, rodent, rat, infestation, possum, bait, spider, wasp, nest, cockroach, ant, pest","living room, strong smell, duct room, floor office, open window, inside lab, high bay, unable investigate, ceiling area, horse unit, bad smell, large number, spider web, wasp nest, pest control"
PLUMBING SERVICES,"flush, leaking, flushing, sow, plumber, drain, sink, hot, urinal, blocked, toilet, plumbing, water, zip, tap","sow isolate, check valve, urinal blocked, tap working, zip unit, send plumber, maintenance sept, cold water, toilet blocked, water tap, maintenance oct, maintenance aug, zip tap, hot water, plumbing maintenance"
PROJECT REQUEST,"planning, consider, funding, acid, purchase, ui, refurbishment, shi, supporting, fund, reticulation, deps, provost, enquiry, project","ict comms, shute building, request form, stand desk, new equipment, co ui, cheryl swale, sit stand, new air, mija keane, new location, inquiry form, project inquiry, project request, attached project"
ROOF AND GUTTER,"water, membrane, permit, ceiling, leaking, step, downpipe, guttering, taken, slate, rain, leak, jjc, roof, gutter","date fault, defect gutter, fault roof, access roof, leak action, next step, ppm defect, roof leaking, jjc ppm, cause problem, roof gutter, action taken, box gutter, jjc defect, roof leak"
ROOF SAFETY,"facade, wha, mcm, certified, deferred, roof, knock, cache, concise, degradation, arrest, strop, abseil, recertify, anchor","ladder bracket, maintenance program, data plate, mcm proceed, system approved, height safety, program roof, existing roof, recertify existing, safety mcm, proceed recertify, approved cost, anchor point, safety system, roof safety"
SECURITY SERVICES,"arbor, guard, prasad, tom, man, kordia, ravin, belonging, dependent, restricted, ericsson, security, mask, bryce, greg","management solution, carried co, tom drive, lawn apply, dependent tom, room technician, carpark roller, following building, door repaired, static guard, security access, restricted area, man carpark, time restricted, organise security"
SECURITY SERVICES|CONCIERGESTAFF,"event, dinner, extension, coverage, ccwm, sonia, industrial, museum, aud, terry, shift, book, ot, pc, concierge","personnel request, hoc officer, function room, date time, following date, client access, required team, staff required, time location, hour event, staff onsite, ot required, pc ot, protective concierge, concierge staff"
SECURITY SERVICES|CONCIERGETASKS,"car, small, cpc, nicola, fisher, av, wed, test, lost, entire, trestle, action, ring, property, handed","non critical, lecture theatre, many nicola, day date, allow access, trestle table, fisher library, booking time, time many, date wed, location outside, table required, complete emergency, theatre day, library room"
SECURITY SERVICES|LOCK UNLOCK,"alwan, bosch, mateo, contractor, rubio, security, tomorrow, kappler, unlocked, alaca, satchell, bfm, inclusive, unlock, given","lock unlock, id call, security access, unlock room, required ventia, teaching lectern, unlock service, service teaching, authorised bfm, ventia electrical, lock request, access assistance, roof access, inclusive attached, access given"
SECURITY SERVICES|OUT OF HOURS,"wedding, security, convenience, departure, booking, contractor, dobesch, holland, zorbas, narayan, ramos, arbor, unlock, bridal, bollard","following client, bridal party, contractor call, require access, assist ict, removed replaced, place saturday, convenience following, replaced earliest, removed end, end usyd, change arrange, facility change, arrange bollard, bollard removed"
SECURITY SERVICES|PATROL SERVICE,"static, quarter, patrol, centre, protection, safety, guard, learning, health, compliance, officer, protective, till, ad, hoc","officer asset, quarter learning, compliance quarter, carslaw learning, compliance carslaw, asset protection, learning centre, centre till, officer health, health safety, safety compliance, hoc protective, protective service, service officer, ad hoc"
SECURITY SERVICES|TRAFFIC CTRL,"carpark, bollard, carparking, avenue, planter, accessibility, facilitate, temporarily, eastern, finished, elderly, paving, presence, wesley, crane","car space, required monday, carslaw building, saturday april, email approval, ict communication, eastern ave, issue call, monday december, eastern avenue, planter box, hine mobile, door number, monday morning, traffic control"
SECURITY SERVICES|TRAINING,"peter, security, patrol, hour, wednesday, fri, friday, tuesday, monday, thursday, aug, august, tues, hedge, training","non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, patrol service, thursday friday, wednesday thursday, tuesday august, friday monday"
SIGNAGE,"printed, lecturer, associate, plaque, brian, title, name, farm, moore, read, dr, signage, plate, professor, sign","door replace, request door, installation required, door signage, new door, ca arrange, office door, associate professor, new signage, signage room, farm gate, sign room, door name, door sign, name plate"
SPACE DATA REQUESTS,"cca, tt, mothballed, ed, occupancy, space, assessment, update, jc, masi, data, vb, heritage, cao, docusign","floor plan, per building, dangerous good, deferred maintenance, room name, wet lab, resource booker, space request, data update, space transfer, docusign cao, space release, update space, heritage assessment, space data"
SPACE DATA REQUESTS|FLOOR PLANS,"pdf, cert, westmead, delete, castle, plan, outdated, workplace, drawing, narrabri, update, elliott, duplicate, reflect, cad","hope well, electrical mechanical, possible access, vet science, ccwf building, social distancing, front lawn, engineering link, link building, room update, quiet room, main campus, wilkinson building, level floor, floor plan"
SPACE DATA REQUESTS|ROOM NUMBER,"keane, deacon, number, drawing, simone, proposed, gender, adiba, accommodate, allocation, tss, mija, marin, verification, emailed","space project, room provide, room control, contact michael, new office, number update, doe exist, service location, client space, room part, space team, number room, new building, caroline marin, room number"
SPACE REQUEST,"accommodate, licence, seek, committee, archibus, chapman, tss, agreement, experience, dvciss, adiba, transferred, space, arundel, burren","space level, facility supervisor, room animal, form attached, level rm, office space, space wa, ventia broadspectrum, storage space, room block, request room, safety psu, wakil building, space required, space request"
SPACE REQUEST|ADDITIONAL SPACE,"dig, sample, space, synthesis, idea, reflect, industry, potting, dvc, agreement, occupation, vacated, enabling, medium, cg","power available, civil engineering, space request, room space, space possibly, synthesis lab, research student, good condition, safety psu, ha equipment, space lab, space wa, space required, equipment required, room located"
SPACE REQUEST|FURNITURE REQUESTS,"small, previous, post, hub, engineering, learning, chair, desk, moved, marked, four, three, drawer, civil, bookcase","staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, learning centre, room building, learning hub, front room, civil engineering, cabinet room, post note"
SPACE REQUEST|GTS TRANSFER,"michael, spreadsheet, space, support, transfer, archibus, delivery, management, central, trial, listed, stage, live, tab, subsequent","swipe card, swipe access, non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, request raised, space data, spreadsheet attached"
SPACE REQUEST|SPACE RELEASE,"retaining, brain, finance, mind, partner, adiba, fmh, la, ui, mothballed, space, som, cumberland, vacated, release","space team, room emptied, using space, ha closed, usyd ha, international house, following space, animal facility, space currently, student life, brain mind, mind centre, room equipment, facility room, space release"
SPACE REQUEST|SPACE TRANSFER,"space, transferred, education, central, accordance, archibus, engagement, delegate, timetable, marin, ownership, deacon, vp, transfer, curriculum","new ict, ha asked, form attached, issue request, space transfer, request contact, listed attached, project manager, caroline marin, client space, provided following, attached issue, transfer ownership, contact michael, space project"
SPACE REQUEST|TRANSFORMATIONAL,"request, physic, adding, gts, configuration, aim, option, space, configure, joining, workstation, considering, provost, bio, etp","ha requested, space attached, teaching space, space level, building level, room new, level zone, raise request, request add, physic building, south tower, add new, link building, request level, space request"
STORES AND DOCK,"box, audit, gas, paper, significant, cage, addressed, finding, storage, delivered, comply, upcoming, bottle, toner, photocopier","penetration sealed, swipe card, swipe access, non critcal, critcal defect, staff id, card access, access group, evacuation diagram, defect passive, non conformance, critical defect, non critical, concrete floor, storage cage"
TEST AND TAG,"microwave, tested, electrical, oven, purchased, annual, instated, missed, testing, tag, cord, funded, tagged, appliance, tagging","water heater, hand dryer, friday jan, fan located, conduct annual, limited access, room needed, located unit, tag electrical, user funded, tested tagged, annual testing, electrical equipment, testing tagging, test tag"
TRAFFIC AND PARKING,"barricade, spot, road, boat, supplier, bus, car, toyota, registration, parked, rego, vehicle, leanne, reserve, parking","parked front, lift old, total number, front scissor, number vehicle, duration required, location parked, college reason, drop pick, car spot, space outside, reason request, parking space, vehicle registration, reserve parking"
TRAFFIC AND PARKING|BARRICADING,"bump, bft, chau, car, parked, chak, reserved, barricading, reserve, registration, vehicle, barricade, bay, rego, parking","public school, darlington public, wing museum, place near, parking required, car rego, barricading request, registration number, reserve parking, usyd place, parking space, bay usyd, vehicle registration, barricade parking, parking bay"
TRAFFIC AND PARKING|SIGNAGE,"avenue, bend, park, driveway, car, pole, vehicle, western, bent, laying, knocked, parking, hit, pedestrian, sign","pedestrian crossing, end eastern, attached photo, floor sign, heydon laurence, garden bed, asap attached, contractor onsite, sign ha, area sign, signage ha, car park, provide quote, western avenue, parking area"
WASTE BIOLOGICAL AND CLINICAL,"empty, query, collected, bin, waste, biological, yellow, post, clinical, purple, sharp, tank, collection, mortem, beginning","building loading, service provide, arrange collection, waste collection, loading dock, camden campus, resolve asap, building building, bin bin, bin delivered, mortem room, waste bin, bin collected, post mortem, clinical waste"
WASTE GENERAL,"event, paper, skip, collected, booking, raul, dumped, recycle, waste, general, pallet, emptied, mingled, recycling, bin","bin onsite, bin provided, request provide, recycling onsite, general recycling, collected post, paper cardboard, supplied removed, mingled bin, co mingled, bin supplied, bin request, provide general, general waste, recycling bin"
WATER TREATMENT,"softener, action, warning, usyd, filtration, corrective, probe, cooling, dosing, tower, eliminator, drift, orp, seko, rmp","water treatment, corrective action, circulation pump, chemical dosing, action replacement, warning sign, cooling tower, action warning, orp controller, action orp, drift eliminator, replacement drift, tower rmp, rmp corrective, usyd cooling"
